timestamp,bpm,complexity,preset,chord_progression,output_filename,number_of_events
2026-05-21T18:29:30.279834,80,2,Batch,C G Am F,output_80_c2_20260521_182930.mid,68
2026-05-21T18:29:30.283900,80,3,Batch,C G Am F,output_80_c3_20260521_182930.mid,108
2026-05-21T18:29:30.285654,100,1,Batch,C G Am F,output_100_c1_20260521_182930.mid,32
2026-05-21T18:29:30.288628,100,2,Batch,C G Am F,output_100_c2_20260521_182930.mid,68
2026-05-21T18:29:30.291999,100,3,Batch,C G Am F,output_100_c3_20260521_182930.mid,108
2026-05-21T18:29:30.293275,120,1,Batch,C G Am F,output_120_c1_20260521_182930.mid,32
2026-05-21T18:29:30.295409,120,2,Batch,C G Am F,output_120_c2_20260521_182930.mid,68
2026-05-21T18:29:30.299285,120,3,Batch,C G Am F,output_120_c3_20260521_182930.mid,108
2026-05-21T18:29:30.300896,140,1,Batch,C G Am F,output_140_c1_20260521_182930.mid,32
2026-05-21T18:29:30.302749,140,2,Batch,C G Am F,output_140_c2_20260521_182930.mid,68
2026-05-21T18:29:30.305690,140,3,Batch,C G Am F,output_140_c3_20260521_182930.mid,108
2026-05-21T19:09:26.212074,92,1,Relaxation,C G Am F,output_92_c1_20260521_190926.mid,32
2026-05-21T19:09:33.921004,60,1,Batch,C G Am F,output_60_c1_20260521_190933.mid,32
2026-05-21T19:09:33.925674,60,2,Batch,C G Am F,output_60_c2_20260521_190933.mid,68
2026-05-21T19:09:33.932714,60,3,Batch,C G Am F,output_60_c3_20260521_190933.mid,108
2026-05-21T19:09:33.935508,80,1,Batch,C G Am F,output_80_c1_20260521_190933.mid,32
2026-05-21T19:09:33.939301,80,2,Batch,C G Am F,output_80_c2_20260521_190933.mid,68
2026-05-21T19:09:33.944054,80,3,Batch,C G Am F,output_80_c3_20260521_190933.mid,108
2026-05-21T19:09:33.946277,100,1,Batch,C G Am F,output_100_c1_20260521_190933.mid,32
2026-05-21T19:09:33.949021,100,2,Batch,C G Am F,output_100_c2_20260521_190933.mid,68
2026-05-21T19:09:33.952724,100,3,Batch,C G Am F,output_100_c3_20260521_190933.mid,108
2026-05-21T19:09:33.953984,120,1,Batch,C G Am F,output_120_c1_20260521_190933.mid,32
2026-05-21T19:09:33.956395,120,2,Batch,C G Am F,output_120_c2_20260521_190933.mid,68
2026-05-21T19:09:33.961802,120,3,Batch,C G Am F,output_120_c3_20260521_190933.mid,108
2026-05-21T19:09:33.963715,140,1,Batch,C G Am F,output_140_c1_20260521_190933.mid,32
2026-05-21T19:09:33.966481,140,2,Batch,C G Am F,output_140_c2_20260521_190933.mid,68
2026-05-21T19:09:33.969407,140,3,Batch,C G Am F,output_140_c3_20260521_190933.mid,108
2026-05-23T21:45:13.380964,70,1,Relaxation,C G Am F,output_70_c1_20260523_214513.mid,32
2026-05-23T21:45:27.529040,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260523_214527.mid,108
2026-05-23T21:45:51.345221,60,1,Batch,C G Am F,output_60_c1_20260523_214551.mid,32
2026-05-23T21:45:51.349882,60,2,Batch,C G Am F,output_60_c2_20260523_214551.mid,68
2026-05-23T21:45:51.356429,60,3,Batch,C G Am F,output_60_c3_20260523_214551.mid,108
2026-05-23T21:45:51.359588,80,1,Batch,C G Am F,output_80_c1_20260523_214551.mid,32
2026-05-23T21:45:51.363544,80,2,Batch,C G Am F,output_80_c2_20260523_214551.mid,68
2026-05-23T21:45:51.368718,80,3,Batch,C G Am F,output_80_c3_20260523_214551.mid,108
2026-05-23T21:45:51.370872,100,1,Batch,C G Am F,output_100_c1_20260523_214551.mid,32
2026-05-23T21:45:51.373928,100,2,Batch,C G Am F,output_100_c2_20260523_214551.mid,68
2026-05-23T21:45:51.377722,100,3,Batch,C G Am F,output_100_c3_20260523_214551.mid,108
2026-05-23T21:45:51.378977,120,1,Batch,C G Am F,output_120_c1_20260523_214551.mid,32
2026-05-23T21:45:51.381346,120,2,Batch,C G Am F,output_120_c2_20260523_214551.mid,68
2026-05-23T21:45:51.385636,120,3,Batch,C G Am F,output_120_c3_20260523_214551.mid,108
2026-05-23T21:45:51.386869,140,1,Batch,C G Am F,output_140_c1_20260523_214551.mid,32
2026-05-23T21:45:51.388860,140,2,Batch,C G Am F,output_140_c2_20260523_214551.mid,68
2026-05-23T21:45:51.391788,140,3,Batch,C G Am F,output_140_c3_20260523_214551.mid,108
2026-06-03T14:19:25.962252,110,2,Motor Synchronization,C G Am F,output_110_c2_20260603_141925.mid,68
2026-06-03T14:20:33.941191,60,1,Batch,C G Am F,output_60_c1_20260603_142033.mid,32
2026-06-03T14:20:33.945288,60,2,Batch,C G Am F,output_60_c2_20260603_142033.mid,68
2026-06-03T14:20:33.950630,60,3,Batch,C G Am F,output_60_c3_20260603_142033.mid,108
2026-06-03T14:20:33.953453,80,1,Batch,C G Am F,output_80_c1_20260603_142033.mid,32
2026-06-03T14:20:33.957097,80,2,Batch,C G Am F,output_80_c2_20260603_142033.mid,68
2026-06-03T14:20:33.962145,80,3,Batch,C G Am F,output_80_c3_20260603_142033.mid,108
2026-06-03T14:20:33.963779,100,1,Batch,C G Am F,output_100_c1_20260603_142033.mid,32
2026-06-03T14:20:33.966562,100,2,Batch,C G Am F,output_100_c2_20260603_142033.mid,68
2026-06-03T14:20:33.970528,100,3,Batch,C G Am F,output_100_c3_20260603_142033.mid,108
2026-06-03T14:20:33.971982,120,1,Batch,C G Am F,output_120_c1_20260603_142033.mid,32
2026-06-03T14:20:33.974336,120,2,Batch,C G Am F,output_120_c2_20260603_142033.mid,68
2026-06-03T14:20:33.977433,120,3,Batch,C G Am F,output_120_c3_20260603_142033.mid,108
2026-06-03T14:20:33.978569,140,1,Batch,C G Am F,output_140_c1_20260603_142033.mid,32
2026-06-03T14:20:33.980485,140,2,Batch,C G Am F,output_140_c2_20260603_142033.mid,68
2026-06-03T14:20:33.983231,140,3,Batch,C G Am F,output_140_c3_20260603_142033.mid,108
